CustomerID,Age,Gender,NPS,MembershipFlag
Customer137,42,Female,-51,N
Customer138,62,Male,52,Y
Customer139,59,Female,-17,Y
Customer140,42,Other,52,Y
Customer141,35,Other,-48,N
Customer142,57,Female,41,Y
Customer143,25,Female,87,N
Customer144,56,Other,10,Y
Customer145,57,Other,70,N
Customer146,31,Male,89,Y
Customer147,49,Other,11,N
Customer148,68,Female,-32,Y
Customer149,78,Male,90,Y
Customer150,55,Female,-99,Y
Customer151,50,Male,81,N
Customer152,40,Female,-85,N
Customer153,80,Other,82,Y
Customer154,32,Female,-7,N
Customer155,50,Male,70,Y
Customer156,42,Female,88,N
Customer157,34,Male,65,Y
Customer158,50,Female,-56,N
Customer159,64,Other,25,N
Customer160,72,Other,78,N
Customer161,19,Female,69,N
Customer162,31,Female,-77,N
Customer163,70,Female,14,Y
Customer164,57,Male,57,N
Customer165,57,Female,64,N
Customer166,68,Female,22,N
Customer167,56,Male,80,N
Customer168,68,Other,90,Y
Customer169,23,Female,38,N
Customer170,23,Female,-23,N
Customer171,20,Other,50,Y
Customer172,24,Other,16,Y
Customer173,68,Male,-21,N
Customer174,25,Female,-51,Y
Customer175,59,Female,-16,N
Customer176,69,Male,82,N
Customer177,32,Other,82,Y
Customer178,64,Male,-97,N
Customer179,46,Other,81,Y
Customer180,50,Male,-40,Y
Customer181,69,Other,10,N
Customer182,47,Male,-23,N
Customer183,56,Other,-18,Y
Customer184,44,Other,32,N
Customer185,53,Other,-1,Y
Customer186,46,Other,45,Y
Customer187,55,Other,71,Y
Customer188,74,Female,-70,Y
Customer189,50,Other,18,N
Customer190,78,Female,-7,N
Customer191,54,Other,48,N
Customer192,44,Female,74,N
Customer193,72,Female,-71,N
Customer194,50,Male,-46,N
Customer195,79,Other,4,Y
Customer196,21,Male,95,N
Customer197,39,Male,96,Y
Customer198,19,Other,-60,Y
Customer199,27,Male,72,Y
Customer200,22,Other,-27,N
Customer201,76,Male,57,Y
Customer202,27,Other,-24,N
Customer203,50,Other,-16,Y
Customer204,71,Other,72,N
Customer205,55,Female,3,N
Customer206,30,Male,72,N
Customer207,48,Female,-22,N
Customer208,64,Male,-17,N
Customer209,53,Male,72,Y
Customer210,62,Male,82,N
Customer211,41,Female,86,N
Customer212,69,Male,32,Y
Customer213,73,Female,23,N
Customer214,32,Other,-69,N
Customer215,46,Male,-95,N
Customer216,25,Male,-7,N
Customer217,22,Other,-75,N
Customer218,46,Other,-64,Y
Customer219,64,Male,-88,N
Customer220,21,Other,-8,Y
Customer221,29,Female,96,N
Customer222,62,Female,-76,Y
Customer223,19,Male,40,Y
Customer224,44,Female,-81,Y
Customer225,48,Female,-29,N
Customer226,68,Male,87,N
Customer227,68,Other,100,Y
Customer228,53,Male,48,N
Customer229,53,Female,14,N
Customer230,43,Male,26,Y
Customer231,60,Male,88,N
Customer232,44,Female,-75,Y
Customer233,22,Female,-47,N
Customer234,37,Male,69,Y
Customer235,28,Female,38,N
Customer236,79,Female,64,N
Customer237,27,Female,24,Y
Customer238,57,Female,-90,Y
Customer239,55,Female,-74,N
Customer240,23,Female,-7,Y
Customer241,25,Other,-18,Y
Customer242,40,Male,-67,Y
Customer243,64,Female,-63,Y
Customer244,43,Male,88,Y
Customer245,63,Other,-14,N
Customer246,60,Female,80,Y
Customer247,29,Male,-36,Y
Customer248,43,Female,30,Y
Customer249,30,Female,94,Y
Customer250,57,Female,55,N
Customer251,79,Female,41,Y
Customer252,35,Female,-49,N
Customer253,42,Female,-71,N
Customer254,50,Female,85,Y
Customer255,64,Other,81,Y
Customer256,57,Other,96,N
Customer257,77,Female,12,N
Customer258,60,Female,42,N
Customer259,29,Other,65,Y
Customer260,61,Other,41,N
Customer261,53,Other,84,Y
Customer262,65,Female,86,N
Customer263,21,Male,-93,N
Customer264,22,Male,-29,Y
Customer265,73,Male,46,Y
Customer266,54,Male,-69,N
Customer267,25,Female,-6,Y
Customer268,80,Male,56,Y
Customer269,59,Other,-60,N
Customer270,66,Other,-26,Y
Customer271,45,Male,-56,Y
Customer272,48,Other,-88,N
Customer273,75,Female,54,N
Customer274,26,Male,-82,Y
Customer275,71,Male,53,Y
Customer276,68,Female,-48,Y
Customer277,46,Other,78,N
Customer278,31,Female,64,N
Customer279,57,Female,36,Y
Customer280,58,Other,79,Y
Customer281,39,Female,81,Y
Customer282,28,Other,-98,N
Customer283,40,Other,-5,N
Customer284,18,Female,96,Y
Customer285,63,Other,35,Y
Customer286,54,Female,-87,Y
Customer287,38,Other,19,Y
Customer288,43,Male,30,N
Customer289,63,Other,51,Y
Customer290,53,Other,-88,Y
Customer291,71,Female,70,N
Customer292,40,Other,56,Y
Customer293,74,Male,-29,Y
Customer294,18,Male,78,Y
Customer295,80,Other,69,Y
Customer296,71,Other,58,Y
Customer297,72,Male,90,Y
Customer298,68,Female,53,N
Customer299,57,Male,45,Y
Customer300,32,Male,-19,N
Customer301,38,Other,-44,N
Customer302,64,Other,-94,N
Customer303,26,Male,11,N
Customer304,70,Female,-53,Y
Customer305,26,Male,-21,Y
Customer306,27,Male,18,Y
Customer307,69,Female,19,Y
Customer308,74,Male,-41,N
Customer309,70,Male,-68,N
Customer310,43,Other,14,N
Customer311,58,Female,27,Y
Customer312,52,Other,-98,N
Customer313,80,Other,-97,Y
Customer314,69,Female,-1,N
Customer315,42,Female,-97,Y
Customer316,43,Male,-59,N
Customer317,28,Other,-92,N
Customer318,55,Female,-50,Y
Customer319,19,Other,44,N
Customer320,24,Other,44,N
Customer321,35,Female,-4,Y
Customer322,44,Male,-81,N
Customer323,51,Other,41,N
Customer324,44,Female,-79,N
Customer325,34,Male,79,N
Customer326,60,Other,-74,Y
Customer327,76,Female,-58,Y
Customer328,61,Other,30,N
Customer329,76,Female,-7,Y
Customer330,68,Female,-93,N
Customer331,71,Other,-15,Y
Customer332,41,Other,-12,N
Customer333,42,Female,37,N
Customer334,24,Male,12,Y
Customer335,69,Other,56,N
Customer336,23,Female,67,N
Customer337,70,Female,92,N
Customer338,41,Male,-80,N
Customer339,50,Male,51,Y
Customer340,66,Male,100,Y
Customer341,46,Other,87,Y
Customer342,80,Female,53,Y
Customer343,60,Female,-92,N
Customer344,39,Female,47,N
Customer345,43,Male,83,N
Customer346,45,Female,-65,N
Customer347,67,Other,-65,Y
Customer348,38,Male,-28,Y
Customer349,66,Male,49,Y
Customer350,24,Male,-100,N
Customer351,34,Male,-32,N
Customer352,37,Other,100,N
Customer353,58,Female,-64,N
Customer354,66,Other,-29,Y
Customer355,37,Female,6,Y
Customer356,71,Other,-5,Y
Customer357,39,Male,40,N
Customer358,45,Male,-17,Y
Customer359,80,Other,-58,N
Customer360,78,Other,-64,Y
Customer361,57,Female,-76,Y
Customer362,66,Other,48,N
Customer363,24,Other,68,N
Customer364,18,Female,-28,N
Customer365,49,Female,69,Y
Customer366,30,Female,-59,Y
Customer367,47,Other,-99,Y
Customer368,40,Female,95,Y
Customer369,68,Male,35,N
Customer370,76,Male,-5,Y
Customer371,73,Male,-40,N
Customer372,36,Other,-87,Y
Customer373,79,Male,12,N
Customer374,49,Other,-24,N
Customer375,47,Other,-80,Y
Customer376,46,Male,51,Y
Customer377,66,Female,77,N
Customer378,62,Other,72,Y
Customer379,46,Male,91,N
Customer380,47,Other,-37,Y
Customer381,33,Female,53,Y
Customer382,57,Female,59,Y
Customer383,36,Male,-44,Y
Customer384,35,Other,18,Y
Customer385,18,Other,80,N
Customer386,31,Other,60,Y
Customer387,68,Other,-49,N
Customer388,64,Male,-6,N
Customer389,67,Female,45,N
Customer390,19,Male,62,Y
Customer391,71,Other,39,N
Customer392,45,Other,78,N
Customer393,66,Female,-12,N
Customer394,67,Other,-91,N
Customer395,47,Male,-49,N
Customer396,55,Male,-67,N
Customer397,68,Female,14,Y
Customer398,80,Male,94,N
Customer399,21,Male,66,N
Customer400,18,Male,35,Y
Customer401,25,Male,24,N
Customer402,46,Other,56,Y
Customer403,72,Male,49,Y
Customer404,56,Female,97,N
Customer405,20,Female,88,N
Customer406,49,Male,-58,Y
Customer407,27,Female,76,Y
Customer408,27,Male,-72,Y
Customer409,36,Female,5,Y
Customer410,63,Female,19,N
Customer411,51,Male,-20,Y
Customer412,77,Male,-70,Y
Customer413,50,Other,80,Y
Customer414,40,Male,61,N
Customer415,72,Male,27,Y
Customer416,45,Other,-63,Y
Customer417,49,Male,84,N
Customer418,67,Male,0,N
Customer419,24,Other,31,Y
Customer420,46,Male,29,Y
Customer421,25,Male,-89,Y
Customer422,18,Other,-66,N
Customer423,74,Other,97,N
Customer424,72,Female,9,Y
Customer425,20,Male,-29,Y
Customer426,41,Female,48,Y
Customer427,40,Female,9,N
Customer428,76,Other,-40,Y
Customer429,80,Male,62,Y
Customer430,78,Male,-53,N
Customer431,25,Other,42,Y
Customer432,71,Female,-30,N
Customer433,74,Other,42,N
Customer434,64,Male,33,Y
Customer435,54,Other,-33,N
Customer436,20,Male,-79,N
Customer437,68,Female,-69,Y
Customer438,50,Male,22,N
Customer439,45,Female,-79,N
Customer440,64,Female,54,Y
Customer441,25,Male,9,Y
Customer442,51,Male,-86,Y
Customer443,52,Female,23,Y
Customer444,49,Other,-57,Y
Customer445,41,Male,14,N
Customer446,31,Female,-92,N
Customer447,49,Female,-67,N
Customer448,73,Other,-28,N
Customer449,63,Male,42,N
Customer450,60,Female,89,Y
Customer451,33,Other,-56,Y
Customer452,21,Female,-29,Y
Customer453,69,Male,-43,Y
Customer454,54,Other,14,N
Customer455,71,Female,-82,Y
Customer456,38,Other,-85,Y
Customer457,31,Male,-26,N
Customer458,48,Other,5,N
Customer459,72,Male,35,Y
Customer460,65,Female,60,N
Customer461,35,Male,-27,N
Customer462,24,Female,-83,Y
Customer463,27,Female,62,N
Customer464,24,Male,-58,Y
Customer465,50,Female,-51,N
Customer466,40,Other,-98,N
Customer467,38,Female,-42,N
Customer468,36,Male,-73,N
Customer469,65,Other,-55,Y
Customer470,78,Other,-37,N
Customer471,36,Female,-31,Y
Customer472,53,Female,-54,Y
Customer473,46,Male,41,N
Customer474,77,Other,34,N
Customer475,35,Male,58,Y
Customer476,19,Female,5,N
Customer477,18,Other,-20,N
Customer478,64,Male,-50,Y
Customer479,22,Male,-72,N
Customer480,37,Male,12,Y
Customer481,28,Male,42,N
Customer482,59,Male,27,N
Customer483,80,Other,-11,N
Customer484,19,Male,-76,N
Customer485,20,Other,88,N
Customer486,40,Male,-60,N
Customer487,72,Female,-32,Y
Customer488,29,Female,-97,Y
Customer489,37,Male,4,N
Customer490,22,Female,84,N
Customer491,54,Other,-70,Y
Customer492,55,Male,30,Y
Customer493,47,Other,16,Y
Customer494,26,Male,94,N
Customer495,51,Female,-11,N
Customer496,70,Other,77,N
Customer497,61,Female,44,Y
Customer498,52,Female,87,Y
Customer499,69,Male,-35,N
Customer500,75,Other,-13,Y
Customer501,39,Female,-77,N
Customer502,61,Male,-2,N
Customer503,41,Male,59,Y
Customer504,34,Male,4,N
Customer505,27,Female,-82,Y
Customer506,47,Male,-35,Y
Customer507,73,Other,-41,N
Customer508,76,Other,14,N
Customer509,63,Female,93,Y
Customer510,40,Other,-86,N
Customer511,49,Male,-16,Y
Customer512,34,Female,62,N
Customer513,67,Male,96,Y
Customer514,68,Female,54,Y
Customer515,34,Female,-13,N
Customer516,31,Male,-94,N
Customer517,26,Other,-95,Y
Customer518,57,Other,24,Y
Customer519,19,Female,-68,Y
Customer520,62,Male,-43,Y
Customer521,42,Male,76,N
Customer522,56,Female,44,N
Customer523,26,Other,9,N
Customer524,71,Male,-59,Y
Customer525,39,Other,-7,N
Customer526,60,Other,99,Y
Customer527,63,Female,67,Y
Customer528,21,Female,73,N
Customer529,43,Other,98,N
Customer530,75,Male,97,Y
Customer531,46,Male,95,Y
Customer532,62,Female,28,N
Customer533,51,Other,-22,Y
Customer534,40,Male,-6,N
Customer535,54,Male,10,N
Customer536,28,Female,-4,Y
Customer537,23,Other,79,Y
Customer538,35,Male,62,Y
Customer539,38,Female,18,Y
Customer540,59,Male,-32,Y
Customer541,53,Male,32,N
Customer542,58,Male,44,N
Customer543,55,Female,80,N
Customer544,51,Other,-49,N
Customer545,34,Female,41,Y
Customer546,54,Other,21,N
Customer547,42,Male,-72,Y
Customer548,55,Other,35,Y
Customer549,75,Male,3,Y
Customer550,29,Male,-100,Y
Customer551,40,Female,-72,Y
Customer552,70,Male,63,N
Customer553,59,Female,78,Y
Customer554,39,Other,64,Y
Customer555,38,Other,-32,N
Customer556,44,Male,-48,N
Customer557,74,Female,23,N
Customer558,48,Male,79,Y
Customer559,23,Female,-13,Y
Customer560,44,Female,-18,Y
Customer561,57,Female,-89,Y
Customer562,51,Other,-49,N
Customer563,29,Female,28,N
Customer564,62,Other,34,N
Customer565,74,Female,44,N
Customer566,70,Other,26,N
Customer567,24,Other,70,N
Customer568,27,Other,-30,Y
Customer569,62,Male,-84,Y
Customer570,34,Female,86,N
Customer571,43,Male,-98,N
Customer572,38,Female,-72,N
Customer573,45,Female,-79,N
Customer574,79,Male,65,Y
Customer575,75,Other,-47,Y
Customer576,63,Female,6,Y
Customer577,19,Other,77,N
Customer578,77,Male,-32,N
Customer579,71,Other,57,N
Customer580,60,Female,50,Y
Customer581,18,Female,19,Y
Customer582,68,Female,-54,Y
Customer583,70,Male,48,N
Customer584,53,Female,-81,Y
Customer585,68,Male,50,Y
Customer586,43,Other,95,N
Customer587,46,Female,48,Y
Customer588,38,Female,-80,N
Customer589,28,Female,-100,N
Customer590,57,Other,42,N
Customer591,28,Female,-84,Y
Customer592,53,Male,-50,Y
Customer593,66,Other,90,N
Customer594,76,Other,-87,Y
Customer595,56,Other,-42,N
Customer596,57,Other,-18,Y
Customer597,52,Other,-51,N
Customer598,71,Male,23,N
Customer599,51,Other,-67,Y
Customer600,72,Female,-95,N
Customer601,64,Other,8,N
Customer602,41,Other,-52,N
Customer603,71,Other,-95,N
Customer604,39,Other,16,N
Customer605,22,Other,17,Y
Customer606,73,Male,96,Y
Customer607,50,Male,-94,N
Customer608,75,Other,-4,Y
Customer609,53,Male,78,N
Customer610,64,Female,17,N
Customer611,37,Other,28,N
Customer612,36,Female,40,N
Customer613,52,Female,70,N
Customer614,69,Other,-74,Y
Customer615,60,Female,98,Y
Customer616,34,Female,15,Y
Customer617,79,Female,30,Y
Customer618,76,Other,-43,Y
Customer619,62,Other,-12,Y
Customer620,60,Female,-4,N
Customer621,51,Other,-84,Y
Customer622,26,Other,72,N
Customer623,43,Female,0,N
Customer624,19,Other,85,Y
Customer625,70,Male,83,Y
Customer626,26,Other,81,N
Customer627,26,Male,-72,N
Customer628,57,Female,1,N
Customer629,34,Other,22,N
Customer630,18,Female,-47,N
Customer631,42,Female,-74,Y
Customer632,78,Female,1,Y
Customer633,60,Female,16,N
Customer634,57,Female,3,N
Customer635,59,Other,-56,N
Customer636,42,Male,13,N
Customer637,56,Other,-14,N
Customer638,52,Other,-70,N
Customer639,20,Other,63,N
Customer640,67,Other,88,N
Customer641,54,Male,-64,Y
Customer642,61,Other,94,N
Customer643,61,Female,-65,N
Customer644,68,Other,18,Y
Customer645,47,Other,-96,N
Customer646,55,Male,73,N
Customer647,51,Male,-49,N
Customer648,29,Female,-52,N
Customer649,36,Other,-95,Y
Customer650,54,Other,22,N
Customer651,61,Other,37,N
Customer652,76,Female,17,N
Customer653,76,Male,-78,Y
Customer654,66,Female,44,N
Customer655,78,Other,9,N
Customer656,34,Male,-57,Y
Customer657,27,Male,-60,Y
Customer658,74,Female,42,Y
Customer659,72,Male,71,Y
Customer660,66,Male,85,N
Customer661,64,Other,-51,Y
Customer662,29,Other,-49,Y
Customer663,79,Male,-31,Y
Customer664,33,Male,95,N
Customer665,41,Female,90,Y
Customer666,36,Female,85,N
Customer667,25,Male,50,N
Customer668,48,Other,71,Y
Customer669,38,Male,8,N
Customer670,34,Male,17,Y
Customer671,40,Other,8,Y
Customer672,54,Other,-6,N
Customer673,71,Female,-57,N
Customer674,33,Female,79,N
Customer675,23,Female,-34,N
Customer676,25,Female,55,Y
Customer677,42,Other,-34,N
Customer678,35,Male,-83,N
Customer679,42,Female,54,N
Customer680,29,Female,78,N
Customer681,32,Other,-41,Y
Customer682,76,Other,-27,Y
Customer683,43,Male,-52,N
Customer684,58,Male,-86,N
Customer685,62,Other,-28,Y
Customer686,43,Female,95,Y
Customer687,64,Female,42,Y
Customer688,49,Female,78,Y
Customer689,27,Male,-53,N
Customer690,33,Female,-29,N
Customer691,24,Female,12,Y
Customer692,34,Other,28,Y
Customer693,40,Female,34,N
Customer694,43,Other,-48,N
Customer695,38,Female,58,Y
Customer696,39,Male,-83,N
Customer697,75,Female,-89,Y
Customer698,24,Female,-53,N
Customer699,31,Other,-71,N
Customer700,32,Other,-4,Y
Customer701,70,Other,-94,N
Customer702,24,Female,-9,Y
Customer703,26,Female,12,N
Customer704,68,Male,-98,Y
Customer705,65,Female,6,Y
Customer706,25,Male,-38,Y
Customer707,67,Other,33,N
Customer708,76,Other,1,Y
Customer709,40,Other,-86,Y
Customer710,46,Male,98,N
Customer711,35,Female,70,N
Customer712,48,Other,-10,Y
Customer713,47,Female,-20,Y
Customer714,69,Female,45,N
Customer715,56,Other,49,N
Customer716,52,Male,-40,N
Customer717,35,Female,19,Y
Customer718,76,Other,-40,N
Customer719,59,Female,-48,Y
Customer720,56,Female,-75,Y
Customer721,34,Female,14,Y
Customer722,31,Female,-61,N
Customer723,48,Female,-13,N
Customer724,41,Male,15,N
Customer725,52,Male,35,Y
Customer726,61,Other,-80,Y
Customer727,77,Male,-58,N
Customer728,62,Male,-80,N
Customer729,51,Male,30,Y
Customer730,20,Female,-70,Y
Customer731,54,Female,54,Y
Customer732,60,Other,-74,Y
Customer733,57,Other,-28,N
Customer734,43,Other,84,Y
Customer735,72,Female,-4,Y
Customer736,40,Male,60,N
Customer737,61,Male,-11,N
Customer738,56,Female,-57,N
Customer739,32,Other,-58,N
Customer740,73,Other,-70,Y
Customer741,66,Other,16,Y
Customer742,21,Female,92,Y
Customer743,46,Other,-25,Y
Customer744,39,Other,44,Y
Customer745,42,Female,42,N
Customer746,30,Male,-67,N
Customer747,35,Female,-21,Y
Customer748,50,Female,-97,N
Customer749,33,Female,-29,Y
Customer750,62,Female,-3,Y
Customer751,59,Male,9,Y
Customer752,61,Other,-73,Y
Customer753,79,Female,100,Y
Customer754,19,Male,29,N
Customer755,72,Other,-84,N
Customer756,52,Other,-43,Y
Customer757,59,Other,26,Y
Customer758,51,Female,-92,N
Customer759,47,Female,-70,Y
Customer760,76,Other,93,Y
Customer761,72,Other,-13,Y
Customer762,30,Other,-39,N
Customer763,30,Other,-82,Y
Customer764,35,Other,-20,Y
Customer765,49,Other,6,N
Customer766,49,Male,-46,Y
Customer767,52,Other,55,Y
Customer768,76,Female,11,N
Customer769,56,Female,22,N
Customer770,63,Female,77,Y
Customer771,69,Other,-36,N
Customer772,46,Female,23,Y
Customer773,79,Male,-98,Y
Customer774,66,Other,79,N
Customer775,46,Female,37,Y
Customer776,79,Male,-80,N
Customer777,70,Male,-64,N
Customer778,61,Female,-86,N
Customer779,74,Male,-14,Y
Customer780,33,Female,19,N
Customer781,73,Male,36,Y
Customer782,61,Other,-57,N
Customer783,64,Other,-62,N
Customer784,74,Other,32,Y
Customer785,27,Other,-76,Y
Customer786,47,Other,-45,N
Customer787,42,Female,20,Y
Customer788,80,Other,-11,Y
Customer789,56,Other,-37,N
Customer790,37,Other,99,N
Customer791,22,Other,79,Y
Customer792,18,Male,-12,N
Customer793,47,Other,11,N
Customer794,66,Other,-25,N
Customer795,20,Female,36,Y
Customer796,62,Male,37,Y
Customer797,31,Female,-91,Y
Customer798,73,Other,100,N
Customer799,47,Female,-39,Y
Customer800,67,Female,-11,N
Customer801,21,Other,-41,N
Customer802,35,Male,46,N
Customer803,79,Male,6,N
Customer804,54,Female,-63,Y
Customer805,42,Other,33,N
Customer806,65,Female,42,N
Customer807,18,Female,-54,Y
Customer808,70,Female,72,N
Customer809,63,Other,32,Y
Customer810,32,Other,-23,Y
Customer811,26,Male,-48,Y
Customer812,32,Other,93,N
Customer813,66,Female,-39,Y
Customer814,74,Female,-78,N
Customer815,41,Male,-57,Y
Customer816,21,Other,-49,Y
Customer817,29,Female,-55,Y
Customer818,76,Male,46,Y
Customer819,75,Male,-17,N
Customer820,54,Female,-54,N
Customer821,78,Female,-10,Y
Customer822,54,Other,-49,Y
Customer823,60,Male,-77,Y
Customer824,77,Female,44,N
Customer825,23,Male,-12,Y
Customer826,56,Other,73,Y
Customer827,73,Female,-37,N
Customer828,80,Other,18,Y
Customer829,63,Male,55,Y
Customer830,41,Other,77,Y
Customer831,28,Other,-37,Y
Customer832,79,Male,55,N
Customer833,30,Other,-15,N
Customer834,51,Male,-45,N
Customer835,42,Female,-42,Y
Customer836,24,Male,32,Y
Customer837,69,Male,81,N
Customer838,21,Female,71,Y
Customer839,76,Male,69,Y
Customer840,25,Female,99,N
Customer841,37,Female,24,N
Customer842,46,Male,84,Y
Customer843,80,Other,-54,N
Customer844,71,Other,20,Y
Customer845,70,Female,52,N
Customer846,68,Other,1,N
Customer847,62,Other,-57,Y
Customer848,63,Male,-86,Y
Customer849,27,Female,4,N
Customer850,60,Female,-50,Y
Customer851,51,Male,-48,Y
Customer852,74,Other,-67,Y
Customer853,43,Female,23,N
Customer854,58,Other,-24,Y
Customer855,66,Female,35,Y
Customer856,75,Female,22,N
Customer857,20,Female,-31,N
Customer858,73,Female,-80,N
Customer859,23,Other,7,N
Customer860,22,Other,7,Y
Customer861,22,Other,34,Y
Customer862,71,Other,-11,N
Customer863,64,Male,-22,N
Customer864,40,Female,83,Y
Customer865,66,Female,76,Y
Customer866,26,Female,-59,N
Customer867,52,Male,50,Y
Customer868,37,Other,-49,Y
Customer869,75,Female,1,N
Customer870,66,Other,4,N
Customer871,78,Other,-22,N
Customer872,76,Male,11,N
Customer873,59,Male,80,Y
Customer874,52,Other,3,N
Customer875,67,Female,-85,Y
Customer876,35,Female,-5,Y
Customer877,79,Male,-64,Y
Customer878,34,Male,45,N
Customer879,41,Male,47,Y
Customer880,20,Male,-55,N
Customer881,49,Male,-99,N
Customer882,52,Male,18,N
Customer883,55,Male,-14,Y
Customer884,30,Female,-7,N
Customer885,73,Male,90,N
Customer886,78,Male,-98,Y
Customer887,64,Female,73,N
Customer888,42,Female,10,Y
Customer889,26,Other,76,Y
Customer890,21,Male,-100,N
Customer891,31,Male,4,N
Customer892,54,Male,-79,N
Customer893,51,Male,41,N
Customer894,28,Other,72,Y
Customer895,58,Female,33,N
Customer896,73,Female,-36,N
Customer897,20,Male,-80,Y
Customer898,76,Male,-97,N
Customer899,45,Male,30,N
Customer900,46,Other,12,N
Customer901,26,Other,-71,N
Customer902,20,Female,-70,N
Customer903,42,Male,61,Y
Customer904,51,Male,-81,N
Customer905,29,Male,-47,Y
Customer906,59,Male,25,Y
Customer907,26,Other,52,Y
Customer908,32,Female,-86,Y
Customer909,57,Female,65,N
Customer910,42,Other,50,N
Customer911,22,Male,79,Y
Customer912,28,Female,93,N
Customer913,76,Female,84,N
Customer914,51,Other,-44,Y
Customer915,41,Male,-22,N
Customer916,77,Female,79,Y
Customer917,32,Male,62,Y
Customer918,55,Female,-87,N
Customer919,25,Other,-10,N
Customer920,76,Male,-87,N
Customer921,22,Other,-2,Y
Customer922,65,Female,-68,Y
Customer923,43,Other,79,N
Customer924,35,Other,-100,Y
Customer925,23,Other,-67,N
Customer926,54,Female,-82,N
Customer927,77,Male,51,N
Customer928,65,Other,-97,N
Customer929,30,Male,63,Y
Customer930,45,Female,-24,N
Customer931,22,Male,-43,Y
Customer932,30,Other,59,Y
