OrderID,StoreID,Date,ProductID,CustomerID,PromotionID,CampaignID,OrderValue,DiscountValue
Order57,Store3,2021-01-14,Product256,Customer4033,Promo3,Campaign8,557.97,6.93
Order58,Store4,2021-01-27,Product389,,Promo2,Campaign7,145.99,53.48
Order59,Store8,2023-12-10,Product199,Customer5738,Promo3,Campaign3,677.93,38.03
Order60,Store3,2021-07-06,Product396,Customer4025,Promo1,Campaign1,193.45,107.85
Order61,Store7,2023-12-17,Product443,Customer3705,Promo4,Campaign2,59.29,91.14
Order62,Store4,2023-02-10,Product337,Customer534,Promo2,Campaign3,826.65,64.95
Order63,Store3,2022-10-29,Product186,Customer8561,Promo3,Campaign1,332.15,166.71
Order64,Store5,2023-09-17,Product344,Customer3282,Promo3,Campaign1,117.44,100.99
Order65,Store8,2023-11-24,Product165,,Promo3,Campaign8,835.56,18.31
Order66,Store5,2022-06-22,Product108,Customer2631,Promo2,Campaign8,764.77,59.15
Order67,Store2,2023-07-25,Product83,Customer6619,Promo5,Campaign2,686.92,194.67
Order68,Store5,2022-01-06,Product301,Customer9194,Promo1,Campaign8,912.14,195.4
Order69,Store4,2021-03-27,Product80,,Promo4,Campaign2,494.33,50.93
Order70,Store2,2021-06-09,Product253,Customer1956,Promo3,Campaign5,136.78,33.45
Order71,Store7,2022-03-01,Product25,,Promo2,Campaign1,70.73,99.14
Order72,Store5,2021-10-02,Product283,,Promo3,Campaign9,325.26,96.29
Order73,Store1,2021-09-15,Product51,,Promo2,Campaign4,95.96,82.03
Order74,Store8,2023-08-21,Product375,,Promo5,Campaign10,540.15,105.87
Order75,Store7,2023-09-01,Product426,,Promo3,Campaign2,24.35,46.44
Order76,Store4,2022-06-11,Product108,Customer7486,Promo3,Campaign1,449.33,22.99
Order77,Store7,2022-06-17,Product455,,Promo4,Campaign6,186.68,114.09
Order78,Store8,2023-12-19,Product238,Customer6676,Promo2,Campaign8,374.59,186.52
Order79,Store7,2021-04-23,Product426,Customer6728,Promo2,Campaign4,678.28,27.55
Order80,Store2,2021-09-14,Product316,Customer7033,Promo5,Campaign1,357.45,140.96
Order81,Store4,2021-11-25,Product328,,Promo3,Campaign1,347.93,87.58
Order82,Store2,2023-02-16,Product463,Customer1305,Promo4,Campaign6,990.84,58.8
Order83,Store8,2021-02-20,Product186,,Promo1,Campaign2,721.63,170.62
Order84,Store8,2021-08-09,Product80,Customer3417,Promo4,Campaign5,518.72,91.3
Order85,Store4,2023-02-22,Product328,Customer4516,Promo4,Campaign2,583.58,116.66
Order86,Store1,2022-08-19,Product484,Customer1007,Promo4,Campaign9,623.98,88.61
Order87,Store8,2021-08-10,Product96,Customer4395,Promo4,Campaign2,34.33,16.25
Order88,Store7,2023-08-01,Product382,,Promo3,Campaign5,89.46,118.98
Order89,Store5,2023-12-14,Product465,Customer4964,Promo4,Campaign4,652.7,83.77
Order90,Store3,2021-07-17,Product484,Customer8372,Promo2,Campaign1,370.82,17.35
Order91,Store7,2021-05-08,Product150,Customer1509,Promo2,Campaign10,64.89,119.16
Order92,Store3,2023-10-30,Product352,,Promo4,Campaign9,304.54,1.97
Order93,Store3,2023-09-14,Product442,,Promo2,Campaign3,138.98,41.7
Order94,Store7,2021-08-15,Product395,Customer4829,Promo3,Campaign10,917.15,156.21
Order95,Store2,2022-07-12,Product365,Customer4356,Promo1,Campaign8,210.9,7.59
Order96,Store5,2023-11-06,Product6,Customer5404,Promo4,Campaign4,152.25,129.34
Order97,Store7,2021-08-03,Product22,Customer5016,Promo2,Campaign9,629.91,189.94
Order98,Store6,2023-05-05,Product462,Customer3226,Promo2,Campaign5,526.69,34.24
Order99,Store2,2022-03-01,Product220,,Promo3,Campaign2,580.17,83.42
Order100,Store7,2021-11-14,Product359,,Promo3,Campaign8,441.59,115.1
Order101,Store8,2021-12-26,Product12,Customer3350,Promo1,Campaign4,472.5,90.08
Order102,Store7,2023-07-25,Product283,,Promo5,Campaign2,781.01,124.08
Order103,Store2,2023-08-16,Product385,Customer195,Promo5,Campaign6,227.72,80.82
Order104,Store7,2023-07-09,Product192,Customer5474,Promo5,Campaign1,402.56,29.7
Order105,Store2,2023-06-21,Product458,Customer7119,Promo1,Campaign8,958.25,17.81
Order106,Store7,2021-07-17,Product225,Customer470,Promo4,Campaign9,198.09,148.89
Order107,Store6,2022-02-02,Product336,Customer2013,Promo5,Campaign7,300.84,47.72
Order108,Store7,2022-08-13,Product167,Customer3227,Promo5,Campaign9,199.65,169.49
Order109,Store8,2021-08-30,Product316,Customer9003,Promo2,Campaign2,30.29,148.61
Order110,Store8,2022-03-05,Product116,,Promo2,Campaign1,277.13,9.89
Order111,Store2,2022-09-03,Product326,Customer7807,Promo4,Campaign7,56.0,40.24
Order112,Store8,2021-01-06,Product438,Customer7034,Promo3,Campaign4,163.14,58.4
Order113,Store8,2022-12-11,Product409,Customer6710,Promo1,Campaign10,369.06,118.9
Order114,Store5,2021-12-26,Product498,Customer4384,Promo5,Campaign8,30.51,161.97
Order115,Store7,2023-11-10,Product148,,Promo1,Campaign3,755.43,12.07
Order116,Store3,2022-05-18,Product36,Customer6760,Promo2,Campaign7,797.63,49.92
Order117,Store8,2021-08-15,Product407,Customer2877,Promo1,Campaign7,417.3,75.24
Order118,Store4,2021-04-19,Product464,Customer1711,Promo2,Campaign10,984.82,36.68
Order119,Store2,2023-01-13,Product385,,Promo1,Campaign9,682.2,109.06
Order120,Store7,2023-03-22,Product245,Customer219,Promo2,Campaign4,746.28,95.6
Order121,Store5,2023-02-25,Product478,,Promo1,Campaign10,200.38,63.3
Order122,Store1,2021-08-16,Product411,Customer2729,Promo5,Campaign1,839.06,103.38
Order123,Store4,2023-05-02,Product308,Customer8220,Promo5,Campaign7,945.6,71.16
Order124,Store2,2023-04-08,Product130,Customer3770,Promo4,Campaign10,243.95,68.64
Order125,Store2,2022-01-14,Product240,,Promo1,Campaign6,689.6,53.08
Order126,Store7,2022-01-20,Product405,Customer6794,Promo3,Campaign1,749.47,108.09
Order127,Store4,2021-04-23,Product393,Customer1764,Promo4,Campaign9,312.12,88.82
Order128,Store4,2021-10-18,Product367,Customer3373,Promo1,Campaign10,480.26,39.26
Order129,Store2,2021-10-18,Product344,Customer4004,Promo3,Campaign8,106.56,2.59
Order130,Store5,2022-11-08,Product304,,Promo5,Campaign10,181.36,30.19
Order131,Store1,2021-03-01,Product105,Customer9585,Promo5,Campaign4,70.95,8.57
Order132,Store7,2021-04-16,Product167,,Promo5,Campaign5,564.56,86.32
Order133,Store8,2022-09-15,Product42,Customer654,Promo3,Campaign8,629.01,45.02
Order134,Store8,2021-03-30,Product455,Customer7235,Promo2,Campaign2,916.96,84.09
Order135,Store5,2023-01-12,Product254,,Promo1,Campaign6,546.76,65.89
Order136,Store8,2023-06-19,Product350,Customer9815,Promo4,Campaign10,268.01,107.6
Order137,Store8,2022-03-21,Product301,Customer1509,Promo4,Campaign2,68.88,144.77
Order138,Store6,2023-10-04,Product386,Customer8486,Promo5,Campaign8,886.1,95.86
Order139,Store3,2021-11-02,Product460,Customer9317,Promo2,Campaign5,484.07,12.39
Order140,Store3,2022-09-07,Product205,Customer6429,Promo1,Campaign10,739.95,3.5
Order141,Store3,2021-07-21,Product195,Customer985,Promo1,Campaign3,24.5,42.65
Order142,Store2,2023-08-02,Product171,Customer434,Promo4,Campaign2,493.26,84.99
Order143,Store7,2023-11-13,Product250,,Promo4,Campaign4,332.47,8.98
Order144,Store7,2022-04-16,Product104,Customer3219,Promo4,Campaign8,40.03,65.55
Order145,Store1,2023-09-06,Product363,Customer4738,Promo1,Campaign1,777.92,177.41
Order146,Store1,2021-11-05,Product402,Customer9941,Promo4,Campaign10,517.77,18.0
Order147,Store7,2023-01-03,Product39,Customer8616,Promo1,Campaign3,339.85,189.7
Order148,Store6,2022-06-20,Product236,,Promo5,Campaign1,807.74,171.33
Order149,Store2,2022-01-11,Product134,Customer1161,Promo2,Campaign2,452.45,166.36
Order150,Store2,2022-05-14,Product252,Customer8837,Promo4,Campaign10,13.46,172.73
Order151,Store8,2022-09-28,Product170,Customer1028,Promo1,Campaign7,945.0,16.01
Order152,Store8,2021-05-22,Product436,Customer3,Promo5,Campaign1,263.13,30.23
Order153,Store2,2023-12-12,Product283,Customer1503,Promo3,Campaign9,832.27,26.87
Order154,Store1,2023-12-30,Product207,Customer7710,Promo5,Campaign8,818.25,22.25
Order155,Store8,2021-09-17,Product500,Customer8453,Promo2,Campaign1,170.75,65.54
Order156,Store2,2022-01-13,Product143,Customer5480,Promo5,Campaign10,479.26,166.04
Order157,Store4,2023-11-29,Product19,Customer576,Promo4,Campaign1,49.8,50.39
Order158,Store8,2021-12-14,Product190,Customer7926,Promo4,Campaign2,361.01,48.84
Order159,Store4,2023-04-08,Product64,Customer1073,Promo3,Campaign2,733.67,135.18
Order160,Store4,2022-05-21,Product230,Customer1772,Promo1,Campaign6,244.7,19.39
Order161,Store2,2022-01-17,Product307,Customer6408,Promo5,Campaign1,125.96,72.06
Order162,Store4,2022-03-01,Product175,Customer4255,Promo3,Campaign4,512.05,59.09
Order163,Store7,2021-11-18,Product313,Customer5810,Promo4,Campaign7,541.62,169.46
Order164,Store6,2021-09-07,Product20,Customer7939,Promo1,Campaign9,679.07,102.9
Order165,Store2,2021-06-29,Product276,Customer2001,Promo1,Campaign10,761.55,129.29
Order166,Store6,2023-10-01,Product338,,Promo2,Campaign3,698.85,25.81
Order167,Store4,2021-01-29,Product448,Customer6994,Promo4,Campaign4,846.96,185.78
Order168,Store2,2023-01-08,Product226,Customer277,Promo1,Campaign5,230.68,64.49
Order169,Store5,2021-07-06,Product231,Customer7856,Promo2,Campaign5,574.07,141.37
Order170,Store3,2021-02-24,Product101,Customer5790,Promo2,Campaign2,366.49,190.93
Order171,Store5,2023-05-28,Product227,Customer8771,Promo4,Campaign5,962.49,101.73
Order172,Store3,2022-05-29,Product294,Customer9801,Promo1,Campaign10,445.88,101.51
Order173,Store3,2021-01-17,Product38,,Promo1,Campaign1,960.12,23.45
Order174,Store4,2021-03-29,Product65,,Promo5,Campaign7,771.37,78.06
Order175,Store3,2023-12-18,Product499,Customer6871,Promo1,Campaign5,721.28,170.49
Order176,Store3,2022-12-05,Product76,Customer7019,Promo2,Campaign6,496.65,27.02
Order177,Store5,2022-12-26,Product389,Customer281,Promo3,Campaign9,448.94,183.5
Order178,Store3,2023-12-06,Product192,,Promo4,Campaign3,531.28,133.46
Order179,Store2,2023-06-14,Product123,Customer359,Promo3,Campaign1,300.7,84.19
Order180,Store6,2022-03-28,Product125,Customer7909,Promo1,Campaign8,905.46,109.3
Order181,Store7,2022-03-03,Product27,Customer1233,Promo2,Campaign2,796.39,30.1
Order182,Store6,2021-04-28,Product103,Customer3573,Promo3,Campaign2,803.38,43.5
Order183,Store8,2022-11-19,Product276,Customer1755,Promo4,Campaign10,438.82,57.28
Order184,Store2,2023-10-19,Product60,Customer1718,Promo5,Campaign4,80.38,76.97
Order185,Store8,2022-08-03,Product168,Customer933,Promo3,Campaign5,686.25,183.1
Order186,Store7,2021-09-08,Product83,Customer3974,Promo5,Campaign1,380.67,73.51
Order187,Store8,2022-02-07,Product486,Customer5296,Promo1,Campaign3,871.73,104.77
Order188,Store4,2023-07-10,Product463,Customer5806,Promo1,Campaign8,782.54,32.41
Order189,Store7,2021-07-19,Product6,Customer5497,Promo4,Campaign6,153.87,147.19
Order190,Store7,2023-12-11,Product457,Customer6547,Promo5,Campaign3,605.7,112.06
Order191,Store8,2023-07-03,Product164,,Promo5,Campaign7,695.29,87.98
Order192,Store5,2021-11-16,Product368,Customer7898,Promo4,Campaign6,572.46,189.44
Order193,Store7,2021-07-18,Product471,Customer217,Promo3,Campaign5,518.9,178.13
Order194,Store7,2021-05-25,Product202,Customer2162,Promo4,Campaign8,235.58,131.9
Order195,Store1,2023-12-19,Product449,Customer4362,Promo1,Campaign8,243.55,184.36
Order196,Store6,2021-05-23,Product395,,Promo5,Campaign3,770.33,112.96
Order197,Store5,2023-11-16,Product177,Customer976,Promo2,Campaign8,28.5,165.39
Order198,Store6,2022-06-10,Product370,Customer8877,Promo2,Campaign10,781.12,81.89
Order199,Store1,2021-05-02,Product340,Customer414,Promo1,Campaign9,531.53,17.35
Order200,Store8,2021-09-22,Product156,Customer4532,Promo5,Campaign10,936.86,198.83
Order201,Store3,2023-10-28,Product278,Customer9627,Promo5,Campaign3,997.35,33.13
Order202,Store1,2023-01-01,Product340,Customer4300,Promo4,Campaign8,666.85,50.3
Order203,Store3,2022-01-31,Product303,Customer5379,Promo3,Campaign8,418.13,32.62
Order204,Store6,2023-07-02,Product102,,Promo4,Campaign7,480.34,67.5
Order205,Store8,2021-04-18,Product80,Customer828,Promo2,Campaign8,212.17,57.86
Order206,Store7,2023-05-09,Product194,Customer6596,Promo5,Campaign1,108.24,120.22
Order207,Store5,2022-09-28,Product281,Customer4578,Promo3,Campaign3,582.98,199.29
Order208,Store5,2023-07-22,Product91,,Promo4,Campaign6,807.44,10.5
Order209,Store4,2023-02-08,Product67,Customer9922,Promo3,Campaign7,269.15,155.69
Order210,Store6,2023-10-30,Product215,Customer1526,Promo2,Campaign7,425.46,25.6
Order211,Store4,2021-02-05,Product416,,Promo3,Campaign6,559.23,3.97
Order212,Store8,2023-10-25,Product145,Customer2641,Promo5,Campaign4,908.82,127.72
Order213,Store7,2022-02-17,Product40,Customer1061,Promo3,Campaign5,147.24,174.66
Order214,Store6,2022-04-28,Product212,Customer6770,Promo3,Campaign9,244.51,35.26
Order215,Store8,2023-07-01,Product286,Customer9208,Promo4,Campaign1,919.35,68.32
Order216,Store7,2022-08-26,Product59,Customer8951,Promo3,Campaign2,49.14,33.75
Order217,Store3,2023-12-18,Product28,Customer6676,Promo3,Campaign5,659.55,181.3
Order218,Store6,2021-06-21,Product47,Customer6160,Promo2,Campaign5,643.13,54.07
Order219,Store6,2021-09-17,Product237,,Promo3,Campaign7,389.42,88.94
Order220,Store3,2021-01-25,Product117,,Promo4,Campaign8,473.48,178.95
Order221,Store2,2021-07-17,Product151,Customer8734,Promo4,Campaign10,856.37,110.57
Order222,Store7,2022-08-02,Product83,Customer2441,Promo5,Campaign6,173.33,186.57
Order223,Store2,2022-02-27,Product57,,Promo2,Campaign6,239.25,185.29
Order224,Store6,2023-03-03,Product217,Customer9373,Promo1,Campaign5,517.23,92.32
Order225,Store2,2021-01-06,Product472,,Promo5,Campaign5,415.65,116.48
Order226,Store5,2021-03-13,Product385,Customer1663,Promo3,Campaign8,578.63,46.06
Order227,Store6,2023-07-18,Product220,Customer8942,Promo2,Campaign5,921.63,198.11
Order228,Store1,2022-03-08,Product285,,Promo5,Campaign6,917.93,55.66
Order229,Store3,2023-08-21,Product492,Customer5783,Promo4,Campaign3,237.72,156.66
Order230,Store4,2022-01-15,Product242,Customer9168,Promo2,Campaign5,309.12,62.59
Order231,Store8,2022-07-04,Product434,,Promo2,Campaign9,170.45,62.61
Order232,Store8,2023-03-19,Product320,Customer6844,Promo3,Campaign3,928.51,20.77
Order233,Store3,2021-02-25,Product99,Customer8739,Promo2,Campaign8,403.89,111.98
Order234,Store6,2022-09-07,Product242,Customer252,Promo2,Campaign7,455.21,48.97
Order235,Store1,2021-08-04,Product465,Customer6496,Promo1,Campaign4,804.61,29.68
Order236,Store3,2021-01-21,Product203,Customer3198,Promo3,Campaign5,517.84,45.33
Order237,Store4,2021-07-29,Product37,Customer1641,Promo2,Campaign8,128.56,50.22
Order238,Store8,2021-10-18,Product246,Customer8858,Promo2,Campaign10,443.47,100.82
Order239,Store4,2022-12-16,Product445,Customer489,Promo1,Campaign7,634.22,77.18
Order240,Store8,2023-04-15,Product128,,Promo1,Campaign10,722.02,15.1
Order241,Store1,2021-07-07,Product135,Customer6473,Promo4,Campaign10,648.9,107.21
Order242,Store4,2021-07-10,Product346,Customer8103,Promo3,Campaign2,127.99,157.55
Order243,Store5,2022-02-11,Product343,Customer3168,Promo1,Campaign8,311.3,114.85
Order244,Store4,2021-08-02,Product64,Customer2278,Promo2,Campaign8,736.23,194.91
Order245,Store7,2022-07-08,Product274,Customer3047,Promo1,Campaign9,881.39,19.83
Order246,Store1,2023-08-18,Product29,Customer2904,Promo5,Campaign2,56.71,164.23
Order247,Store1,2022-08-16,Product487,,Promo4,Campaign4,51.81,101.14
Order248,Store3,2021-02-10,Product370,Customer9842,Promo4,Campaign2,646.97,104.32
Order249,Store4,2022-01-05,Product226,,Promo3,Campaign4,552.57,103.82
Order250,Store4,2021-01-20,Product60,Customer9186,Promo4,Campaign3,163.79,65.06
Order251,Store6,2023-10-30,Product486,Customer8045,Promo3,Campaign7,552.81,64.91
Order252,Store6,2023-04-05,Product54,Customer6599,Promo5,Campaign5,974.74,126.37
Order253,Store1,2021-01-18,Product328,Customer3319,Promo2,Campaign7,634.59,8.95
Order254,Store6,2023-01-18,Product149,Customer8818,Promo5,Campaign2,454.65,117.76
Order255,Store3,2021-11-15,Product405,Customer1708,Promo3,Campaign4,829.26,144.92
Order256,Store7,2023-05-11,Product58,Customer6389,Promo3,Campaign6,220.69,71.27
Order257,Store3,2023-08-26,Product433,Customer2441,Promo3,Campaign5,420.18,43.47
Order258,Store5,2021-09-09,Product36,Customer6310,Promo2,Campaign2,532.49,42.68
Order259,Store7,2021-12-06,Product145,Customer3674,Promo3,Campaign7,509.49,16.37
Order260,Store5,2023-01-21,Product250,Customer669,Promo5,Campaign2,921.76,17.94
Order261,Store1,2023-08-26,Product80,Customer6297,Promo2,Campaign9,299.74,33.34
Order262,Store3,2022-04-07,Product437,Customer2273,Promo5,Campaign7,65.94,3.83
Order263,Store3,2022-09-23,Product15,Customer2015,Promo2,Campaign3,917.21,53.25
Order264,Store5,2022-02-05,Product463,Customer4805,Promo3,Campaign6,224.9,61.28
Order265,Store7,2022-01-06,Product40,Customer4523,Promo2,Campaign5,385.24,199.04
Order266,Store6,2021-10-09,Product81,,Promo1,Campaign9,535.58,198.34
Order267,Store5,2022-01-25,Product307,Customer7058,Promo5,Campaign3,976.12,37.41
Order268,Store8,2021-12-03,Product193,,Promo1,Campaign2,539.92,42.61
Order269,Store1,2021-09-30,Product397,Customer1836,Promo1,Campaign2,453.27,98.38
Order270,Store7,2023-10-17,Product166,Customer4467,Promo3,Campaign4,587.8,29.76
Order271,Store3,2022-10-02,Product458,Customer6942,Promo3,Campaign1,971.1,100.81
Order272,Store1,2023-03-29,Product353,Customer1915,Promo1,Campaign9,819.77,79.88
Order273,Store5,2021-01-06,Product410,Customer1601,Promo2,Campaign3,177.28,64.92
Order274,Store8,2022-08-09,Product204,Customer8268,Promo3,Campaign5,805.23,164.52
Order275,Store4,2023-12-16,Product211,Customer8173,Promo5,Campaign2,842.69,165.62
Order276,Store5,2023-04-02,Product399,Customer2927,Promo1,Campaign8,693.79,197.58
Order277,Store3,2021-08-26,Product373,Customer2840,Promo5,Campaign3,660.66,44.62
Order278,Store1,2022-05-05,Product389,Customer9319,Promo5,Campaign5,446.47,177.66
Order279,Store6,2023-11-12,Product258,Customer1463,Promo5,Campaign7,645.28,107.57
Order280,Store6,2022-03-17,Product115,,Promo1,Campaign2,740.2,118.29
Order281,Store3,2023-12-01,Product334,,Promo4,Campaign3,131.59,179.26
Order282,Store5,2023-05-08,Product349,,Promo3,Campaign8,264.76,188.53
Order283,Store5,2021-09-15,Product233,Customer2634,Promo5,Campaign10,202.14,145.36
Order284,Store2,2021-02-17,Product449,Customer211,Promo1,Campaign8,842.8,69.57
Order285,Store5,2022-05-18,Product77,,Promo4,Campaign3,683.2,97.93
Order286,Store3,2021-05-19,Product497,Customer4300,Promo1,Campaign10,456.27,123.01
Order287,Store7,2022-05-24,Product316,Customer3881,Promo3,Campaign7,827.8,165.73
Order288,Store8,2022-10-16,Product96,Customer3271,Promo1,Campaign2,719.61,131.59
Order289,Store7,2022-04-06,Product98,Customer3057,Promo2,Campaign9,914.46,73.09
Order290,Store1,2022-11-01,Product56,Customer9182,Promo2,Campaign8,86.04,83.58
Order291,Store1,2023-11-29,Product118,,Promo5,Campaign9,514.07,10.09
Order292,Store2,2022-03-09,Product462,Customer9826,Promo1,Campaign9,709.68,184.85
Order293,Store6,2022-04-30,Product500,Customer8427,Promo1,Campaign7,215.42,17.62
Order294,Store3,2023-12-18,Product119,Customer3597,Promo5,Campaign4,333.85,115.99
Order295,Store8,2022-05-11,Product38,Customer6838,Promo5,Campaign5,424.79,174.33
Order296,Store5,2023-05-25,Product185,Customer2963,Promo4,Campaign7,796.38,84.17
Order297,Store4,2022-08-24,Product358,Customer1394,Promo1,Campaign5,498.64,160.03
Order298,Store1,2022-10-17,Product242,Customer1504,Promo3,Campaign10,497.94,160.76
Order299,Store3,2022-08-30,Product51,Customer7548,Promo3,Campaign8,436.58,11.97
Order300,Store7,2021-06-05,Product425,Customer481,Promo3,Campaign5,236.3,82.43
Order301,Store2,2021-07-20,Product463,,Promo5,Campaign5,923.84,138.21
Order302,Store4,2023-10-19,Product127,,Promo5,Campaign5,324.62,84.47
Order303,Store6,2022-05-14,Product103,Customer1868,Promo5,Campaign4,571.79,109.03
Order304,Store3,2022-05-03,Product454,Customer5342,Promo3,Campaign7,157.29,118.89
Order305,Store8,2021-06-09,Product477,Customer9601,Promo4,Campaign2,439.9,30.25
Order306,Store5,2023-12-30,Product229,,Promo2,Campaign10,904.77,82.4
Order307,Store6,2023-04-11,Product211,,Promo1,Campaign4,995.51,5.69
Order308,Store7,2023-08-30,Product436,Customer3185,Promo2,Campaign3,368.13,29.93
Order309,Store1,2022-03-07,Product385,Customer1065,Promo1,Campaign10,162.45,102.45
Order310,Store7,2021-04-27,Product85,Customer3610,Promo5,Campaign8,321.31,114.72
Order311,Store5,2022-11-28,Product359,Customer5466,Promo3,Campaign7,333.97,29.25
Order312,Store2,2021-07-22,Product274,Customer4500,Promo2,Campaign3,648.06,151.12
Order313,Store1,2023-08-20,Product27,Customer9674,Promo5,Campaign4,501.2,74.6
Order314,Store4,2022-04-07,Product348,Customer3223,Promo1,Campaign4,770.78,184.13
Order315,Store1,2023-08-02,Product72,,Promo2,Campaign10,704.29,77.53
Order316,Store7,2022-12-01,Product95,Customer2821,Promo2,Campaign7,258.8,29.96
Order317,Store5,2021-07-20,Product76,Customer4517,Promo2,Campaign8,786.41,151.59
Order318,Store6,2022-05-31,Product426,Customer5598,Promo2,Campaign4,848.99,113.56
Order319,Store3,2022-08-29,Product6,Customer3641,Promo2,Campaign8,602.41,77.34
Order320,Store7,2023-01-14,Product90,Customer9580,Promo5,Campaign1,928.39,71.19
Order321,Store3,2023-05-25,Product80,Customer5120,Promo1,Campaign9,785.12,30.15
Order322,Store3,2021-12-13,Product222,,Promo1,Campaign7,599.44,68.17
Order323,Store8,2021-12-15,Product83,,Promo4,Campaign4,907.1,5.87
Order324,Store7,2023-05-08,Product82,,Promo3,Campaign8,604.35,100.48
