VisitID,StoreID,Date,VisitCount,CampaignID
Visit78,Store2,2023-07-27,78,Campaign9
Visit79,Store2,2021-05-01,118,Campaign4
Visit80,Store6,2021-05-30,189,Campaign2
Visit81,Store6,2021-06-02,141,Campaign5
Visit82,Store2,2023-10-01,16,Campaign2
Visit83,Store7,2022-07-28,491,Campaign10
Visit84,Store4,2023-12-23,349,Campaign2
Visit85,Store8,2021-03-09,464,Campaign6
Visit86,Store7,2021-08-13,417,Campaign10
Visit87,Store7,2023-04-27,158,Campaign10
Visit88,Store2,2022-07-12,194,Campaign1
Visit89,Store1,2023-05-26,466,Campaign2
Visit90,Store5,2021-09-04,412,Campaign5
Visit91,Store6,2023-06-28,477,Campaign10
Visit92,Store7,2021-10-19,165,Campaign5
Visit93,Store4,2021-08-02,425,Campaign10
Visit94,Store5,2023-02-07,299,Campaign3
Visit95,Store1,2022-08-28,254,Campaign5
Visit96,Store3,2023-08-29,281,Campaign9
Visit97,Store6,2023-10-08,47,Campaign2
Visit98,Store8,2021-03-15,124,Campaign6
Visit99,Store2,2022-09-17,346,Campaign8
Visit100,Store6,2022-10-26,468,Campaign3
Visit101,Store6,2021-02-27,128,Campaign2
Visit102,Store6,2022-12-27,141,Campaign1
Visit103,Store1,2021-07-27,65,Campaign1
Visit104,Store3,2022-02-17,433,Campaign4
Visit105,Store4,2023-12-12,129,Campaign6
Visit106,Store1,2023-11-07,59,Campaign7
Visit107,Store8,2022-12-31,374,Campaign8
Visit108,Store4,2023-01-10,382,Campaign8
Visit109,Store5,2023-03-15,433,Campaign10
Visit110,Store5,2022-02-23,371,Campaign1
Visit111,Store8,2023-07-08,91,Campaign8
Visit112,Store4,2021-07-20,379,Campaign10
Visit113,Store7,2021-03-21,58,Campaign1
Visit114,Store5,2021-07-08,57,Campaign3
Visit115,Store5,2023-04-08,143,Campaign5
Visit116,Store8,2023-01-24,247,Campaign10
Visit117,Store8,2023-04-06,489,Campaign10
Visit118,Store2,2023-12-04,391,Campaign8
Visit119,Store4,2022-05-25,398,Campaign8
Visit120,Store4,2022-11-26,344,Campaign6
Visit121,Store3,2021-01-21,182,Campaign4
Visit122,Store8,2022-02-04,409,Campaign4
Visit123,Store6,2022-07-14,377,Campaign8
Visit124,Store2,2023-11-22,154,Campaign3
Visit125,Store1,2022-05-04,196,Campaign8
Visit126,Store2,2021-10-15,129,Campaign4
Visit127,Store1,2022-03-13,193,Campaign10
Visit128,Store4,2021-05-10,366,Campaign9
Visit129,Store2,2022-03-17,372,Campaign2
Visit130,Store7,2023-03-01,88,Campaign10
Visit131,Store3,2023-09-24,172,Campaign1
Visit132,Store6,2023-12-12,17,Campaign4
Visit133,Store5,2022-12-22,108,Campaign9
Visit134,Store1,2023-05-14,326,Campaign7
Visit135,Store5,2021-08-18,365,Campaign9
Visit136,Store6,2022-04-10,36,Campaign9
Visit137,Store4,2021-07-05,471,Campaign10
Visit138,Store4,2021-06-11,384,Campaign9
Visit139,Store4,2022-02-05,480,Campaign9
Visit140,Store5,2023-03-02,285,Campaign7
Visit141,Store6,2023-10-12,322,Campaign8
Visit142,Store7,2022-06-29,463,Campaign2
Visit143,Store4,2022-02-17,481,Campaign9
Visit144,Store4,2022-06-15,288,Campaign2
Visit145,Store5,2021-03-10,365,Campaign8
Visit146,Store4,2021-10-20,213,Campaign2
Visit147,Store6,2022-09-27,395,Campaign8
Visit148,Store8,2022-07-20,420,Campaign3
Visit149,Store1,2022-06-17,169,Campaign2
Visit150,Store2,2022-10-12,486,Campaign6
Visit151,Store1,2022-07-08,187,Campaign6
Visit152,Store7,2023-08-11,201,Campaign1
Visit153,Store4,2023-01-28,49,Campaign7
Visit154,Store6,2021-01-28,369,Campaign1
Visit155,Store6,2022-07-24,245,Campaign4
Visit156,Store4,2022-10-01,42,Campaign6
Visit157,Store7,2022-03-04,38,Campaign8
Visit158,Store7,2023-02-14,42,Campaign8
Visit159,Store8,2023-09-07,109,Campaign10
Visit160,Store4,2021-02-04,154,Campaign7
Visit161,Store4,2022-06-10,339,Campaign5
Visit162,Store5,2023-04-10,74,Campaign6
Visit163,Store6,2022-01-11,131,Campaign8
Visit164,Store2,2023-04-14,52,Campaign3
Visit165,Store8,2022-10-18,456,Campaign6
Visit166,Store5,2023-05-17,382,Campaign4
Visit167,Store5,2023-10-04,218,Campaign3
Visit168,Store6,2022-05-03,499,Campaign3
Visit169,Store7,2021-12-19,485,Campaign4
Visit170,Store8,2021-12-20,239,Campaign6
Visit171,Store4,2023-09-06,136,Campaign1
Visit172,Store1,2022-02-08,365,Campaign2
Visit173,Store6,2022-02-07,195,Campaign4
Visit174,Store1,2023-01-27,246,Campaign10
Visit175,Store3,2022-01-29,100,Campaign9
Visit176,Store6,2022-08-06,52,Campaign8
Visit177,Store8,2021-04-14,430,Campaign10
Visit178,Store2,2021-01-11,55,Campaign8
Visit179,Store6,2023-10-07,34,Campaign7
Visit180,Store8,2022-02-26,363,Campaign6
Visit181,Store3,2021-09-30,204,Campaign7
Visit182,Store5,2021-02-23,358,Campaign6
Visit183,Store3,2021-09-04,108,Campaign3
Visit184,Store7,2022-10-27,500,Campaign6
Visit185,Store3,2022-09-10,265,Campaign7
Visit186,Store6,2021-10-22,370,Campaign6
Visit187,Store3,2021-10-03,444,Campaign2
Visit188,Store2,2022-08-08,339,Campaign6
Visit189,Store6,2023-12-03,382,Campaign2
Visit190,Store1,2021-07-13,303,Campaign1
Visit191,Store1,2021-11-07,255,Campaign10
Visit192,Store3,2022-09-12,175,Campaign10
Visit193,Store6,2022-10-07,266,Campaign10
Visit194,Store8,2021-09-07,319,Campaign5
Visit195,Store2,2023-02-21,458,Campaign4
Visit196,Store1,2023-08-14,361,Campaign9
Visit197,Store4,2021-10-23,287,Campaign9
Visit198,Store6,2021-08-26,198,Campaign9
Visit199,Store7,2023-03-21,195,Campaign3
Visit200,Store6,2021-10-16,191,Campaign10
Visit201,Store8,2022-06-21,284,Campaign3
Visit202,Store7,2021-09-13,236,Campaign3
Visit203,Store8,2022-06-05,463,Campaign10
Visit204,Store1,2021-04-29,43,Campaign5
Visit205,Store1,2021-06-21,216,Campaign6
Visit206,Store2,2022-12-24,53,Campaign6
Visit207,Store2,2023-04-06,382,Campaign3
Visit208,Store1,2021-12-15,499,Campaign2
Visit209,Store4,2022-07-21,254,Campaign6
Visit210,Store4,2022-04-21,263,Campaign4
Visit211,Store7,2021-04-18,118,Campaign9
Visit212,Store3,2022-08-12,332,Campaign2
Visit213,Store3,2022-01-05,123,Campaign4
Visit214,Store1,2023-01-30,445,Campaign2
Visit215,Store1,2022-07-29,494,Campaign5
Visit216,Store1,2021-03-05,287,Campaign3
Visit217,Store6,2021-07-31,246,Campaign4
Visit218,Store4,2021-03-10,38,Campaign9
Visit219,Store5,2022-01-12,407,Campaign10
Visit220,Store3,2022-06-09,231,Campaign5
Visit221,Store3,2021-03-09,327,Campaign9
Visit222,Store5,2023-12-22,280,Campaign5
Visit223,Store1,2021-06-10,251,Campaign10
Visit224,Store8,2023-11-16,486,Campaign9
Visit225,Store3,2023-01-29,407,Campaign8
Visit226,Store4,2022-12-02,380,Campaign1
Visit227,Store5,2023-04-10,460,Campaign3
Visit228,Store4,2023-04-29,415,Campaign5
Visit229,Store6,2023-04-18,106,Campaign3
Visit230,Store1,2021-09-06,352,Campaign10
Visit231,Store3,2023-11-26,390,Campaign1
Visit232,Store7,2023-10-28,385,Campaign2
Visit233,Store4,2021-07-21,272,Campaign2
Visit234,Store5,2023-04-25,349,Campaign4
Visit235,Store7,2022-06-28,16,Campaign6
Visit236,Store8,2021-06-10,282,Campaign2
Visit237,Store8,2023-11-20,297,Campaign6
Visit238,Store1,2021-09-19,390,Campaign1
Visit239,Store3,2021-01-10,344,Campaign8
Visit240,Store3,2022-12-16,214,Campaign3
Visit241,Store7,2021-12-25,193,Campaign8
Visit242,Store1,2021-05-04,327,Campaign3
Visit243,Store1,2022-09-22,67,Campaign1
Visit244,Store1,2021-09-25,120,Campaign4
Visit245,Store6,2021-10-05,195,Campaign3
Visit246,Store4,2023-10-21,140,Campaign8
Visit247,Store2,2021-03-17,98,Campaign1
Visit248,Store6,2022-06-10,489,Campaign9
Visit249,Store3,2022-09-10,345,Campaign9
Visit250,Store7,2023-11-26,127,Campaign6
Visit251,Store4,2021-09-27,266,Campaign5
Visit252,Store8,2021-01-02,119,Campaign5
Visit253,Store5,2022-07-27,76,Campaign6
Visit254,Store3,2022-06-19,157,Campaign7
Visit255,Store6,2021-12-17,229,Campaign8
Visit256,Store8,2023-11-18,223,Campaign3
Visit257,Store8,2022-06-21,493,Campaign10
Visit258,Store2,2023-05-17,71,Campaign1
Visit259,Store5,2023-12-25,65,Campaign5
Visit260,Store3,2023-11-30,498,Campaign1
Visit261,Store7,2022-04-09,446,Campaign2
Visit262,Store2,2021-01-23,458,Campaign8
Visit263,Store1,2022-11-20,321,Campaign3
Visit264,Store2,2021-05-08,343,Campaign10
Visit265,Store3,2021-02-04,438,Campaign4
Visit266,Store2,2022-05-02,344,Campaign6
Visit267,Store6,2021-04-11,105,Campaign8
Visit268,Store3,2023-01-07,155,Campaign1
Visit269,Store3,2023-01-11,57,Campaign2
Visit270,Store7,2022-09-03,303,Campaign6
Visit271,Store2,2021-11-26,287,Campaign8
Visit272,Store2,2021-07-15,473,Campaign8
Visit273,Store6,2022-02-18,212,Campaign3
Visit274,Store5,2021-03-09,208,Campaign4
Visit275,Store8,2023-05-21,338,Campaign10
Visit276,Store5,2023-05-21,394,Campaign4
Visit277,Store4,2021-05-21,435,Campaign4
Visit278,Store3,2021-07-04,390,Campaign2
Visit279,Store8,2023-11-09,133,Campaign6
Visit280,Store5,2021-03-22,209,Campaign8
Visit281,Store7,2022-05-13,84,Campaign9
Visit282,Store8,2021-08-06,462,Campaign1
Visit283,Store8,2022-06-09,166,Campaign1
Visit284,Store4,2021-05-01,143,Campaign9
Visit285,Store6,2022-04-14,321,Campaign4
Visit286,Store3,2021-06-28,129,Campaign7
Visit287,Store6,2021-04-21,21,Campaign2
Visit288,Store7,2021-01-09,244,Campaign10
Visit289,Store8,2021-08-10,304,Campaign1
Visit290,Store4,2023-03-08,464,Campaign7
Visit291,Store5,2023-05-11,117,Campaign6
Visit292,Store4,2022-09-14,405,Campaign3
Visit293,Store2,2021-07-23,42,Campaign10
Visit294,Store6,2022-06-11,129,Campaign4
Visit295,Store4,2022-03-29,265,Campaign1
Visit296,Store6,2023-08-04,92,Campaign7
Visit297,Store8,2021-07-14,190,Campaign9
Visit298,Store1,2021-09-18,237,Campaign1
Visit299,Store1,2023-05-16,284,Campaign2
Visit300,Store4,2023-10-30,195,Campaign2
Visit301,Store1,2023-07-12,350,Campaign6
Visit302,Store4,2021-12-06,220,Campaign5
Visit303,Store6,2021-02-16,258,Campaign6
Visit304,Store8,2023-04-10,393,Campaign1
Visit305,Store7,2023-03-24,52,Campaign6
Visit306,Store7,2022-05-04,82,Campaign6
Visit307,Store4,2023-03-02,438,Campaign7
Visit308,Store4,2021-04-03,351,Campaign2
Visit309,Store8,2022-08-02,28,Campaign6
Visit310,Store1,2021-05-18,174,Campaign9
Visit311,Store3,2021-11-08,276,Campaign9
Visit312,Store4,2021-10-17,449,Campaign2
Visit313,Store4,2021-03-06,137,Campaign5
Visit314,Store2,2022-12-04,418,Campaign7
Visit315,Store2,2023-08-19,364,Campaign5
Visit316,Store5,2022-06-23,462,Campaign3
Visit317,Store1,2021-04-27,310,Campaign1
Visit318,Store3,2023-06-11,327,Campaign7
Visit319,Store7,2022-07-21,360,Campaign8
Visit320,Store4,2022-05-01,151,Campaign6
Visit321,Store7,2023-11-16,470,Campaign7
Visit322,Store4,2023-02-23,43,Campaign9
Visit323,Store1,2023-10-09,107,Campaign2
Visit324,Store5,2023-05-27,219,Campaign5
Visit325,Store5,2022-09-12,325,Campaign3
Visit326,Store2,2022-02-18,329,Campaign2
Visit327,Store7,2022-03-05,207,Campaign3
Visit328,Store1,2021-08-31,444,Campaign4
Visit329,Store5,2021-09-09,265,Campaign2
Visit330,Store5,2021-04-22,51,Campaign2
Visit331,Store7,2023-02-21,414,Campaign8
Visit332,Store3,2023-08-28,113,Campaign3
Visit333,Store2,2021-12-26,398,Campaign3
Visit334,Store2,2023-02-06,331,Campaign4
Visit335,Store2,2023-07-08,463,Campaign5
Visit336,Store6,2021-06-17,379,Campaign3
Visit337,Store5,2023-01-28,198,Campaign6
Visit338,Store4,2021-08-01,401,Campaign10
Visit339,Store6,2023-02-27,331,Campaign3
Visit340,Store8,2023-03-03,352,Campaign8
Visit341,Store5,2021-02-15,71,Campaign4
Visit342,Store5,2023-11-08,413,Campaign5
Visit343,Store7,2023-05-29,397,Campaign3
Visit344,Store8,2023-01-28,152,Campaign5
Visit345,Store8,2022-11-19,231,Campaign7
Visit346,Store1,2022-02-02,449,Campaign3
Visit347,Store7,2022-10-23,29,Campaign3
Visit348,Store2,2021-04-08,289,Campaign1
Visit349,Store2,2023-10-26,274,Campaign2
Visit350,Store7,2021-06-08,257,Campaign4
Visit351,Store3,2021-03-28,125,Campaign9
Visit352,Store2,2022-03-19,414,Campaign3
Visit353,Store5,2021-06-21,495,Campaign10
Visit354,Store1,2022-11-13,264,Campaign5
Visit355,Store3,2021-08-23,306,Campaign9
Visit356,Store5,2021-05-01,22,Campaign4
Visit357,Store5,2022-05-12,398,Campaign4
Visit358,Store8,2022-09-04,457,Campaign6
Visit359,Store6,2022-02-26,55,Campaign7
Visit360,Store3,2021-05-15,343,Campaign6
Visit361,Store6,2021-11-11,251,Campaign4
Visit362,Store8,2021-03-10,80,Campaign7
Visit363,Store5,2021-07-17,463,Campaign10
Visit364,Store5,2023-03-28,68,Campaign3
Visit365,Store8,2021-01-11,213,Campaign3
Visit366,Store6,2023-05-19,60,Campaign7
Visit367,Store8,2023-01-05,25,Campaign6
Visit368,Store1,2023-11-17,60,Campaign2
Visit369,Store1,2021-01-16,233,Campaign1
Visit370,Store6,2023-08-06,137,Campaign6
Visit371,Store1,2021-01-07,179,Campaign9
Visit372,Store2,2021-03-02,276,Campaign3
Visit373,Store3,2023-07-14,77,Campaign9
Visit374,Store1,2022-04-30,130,Campaign6
Visit375,Store5,2022-09-24,486,Campaign4
Visit376,Store2,2023-07-25,189,Campaign10
Visit377,Store3,2023-11-21,235,Campaign10
Visit378,Store1,2022-07-14,466,Campaign10
Visit379,Store1,2021-04-01,403,Campaign2
Visit380,Store3,2022-03-22,337,Campaign9
Visit381,Store1,2023-08-08,200,Campaign5
Visit382,Store6,2021-11-26,429,Campaign5
Visit383,Store3,2023-11-11,489,Campaign2
Visit384,Store3,2023-08-13,310,Campaign5
Visit385,Store8,2022-04-24,260,Campaign6
Visit386,Store5,2022-06-02,15,Campaign2
Visit387,Store7,2022-06-20,271,Campaign1
Visit388,Store3,2021-08-13,100,Campaign6
Visit389,Store7,2022-07-26,203,Campaign9
Visit390,Store4,2022-01-03,338,Campaign9
Visit391,Store1,2023-10-20,73,Campaign9
Visit392,Store7,2023-11-26,303,Campaign5
Visit393,Store5,2022-04-11,462,Campaign10
Visit394,Store7,2022-07-26,235,Campaign1
Visit395,Store2,2022-03-14,454,Campaign3
Visit396,Store7,2023-01-27,343,Campaign8
Visit397,Store7,2022-08-14,467,Campaign9
Visit398,Store4,2023-05-31,72,Campaign4
Visit399,Store3,2021-07-10,376,Campaign3
Visit400,Store2,2021-04-07,80,Campaign2
Visit401,Store7,2022-05-19,29,Campaign5
Visit402,Store2,2023-06-07,468,Campaign2
Visit403,Store2,2021-05-30,342,Campaign9
Visit404,Store2,2021-02-12,254,Campaign10
Visit405,Store8,2023-07-02,73,Campaign9
Visit406,Store5,2021-11-15,474,Campaign3
Visit407,Store5,2021-08-06,302,Campaign4
Visit408,Store2,2022-05-03,373,Campaign9
Visit409,Store4,2021-05-26,429,Campaign1
Visit410,Store8,2021-11-24,234,Campaign7
Visit411,Store1,2021-09-16,275,Campaign2
Visit412,Store6,2022-07-20,171,Campaign9
Visit413,Store1,2021-04-29,54,Campaign3
Visit414,Store5,2021-10-17,328,Campaign6
Visit415,Store4,2021-08-13,278,Campaign5
Visit416,Store4,2023-06-13,34,Campaign2
Visit417,Store3,2023-01-23,392,Campaign9
Visit418,Store8,2021-09-02,309,Campaign3
Visit419,Store8,2021-06-25,234,Campaign6
Visit420,Store5,2022-06-06,83,Campaign9
Visit421,Store4,2021-04-29,125,Campaign8
Visit422,Store4,2021-09-16,161,Campaign10
Visit423,Store1,2022-07-25,78,Campaign5
Visit424,Store4,2023-08-01,211,Campaign6
Visit425,Store4,2021-06-07,496,Campaign3
Visit426,Store7,2021-09-18,312,Campaign5
Visit427,Store2,2022-01-25,100,Campaign6
Visit428,Store7,2022-10-07,59,Campaign3
Visit429,Store8,2021-05-12,381,Campaign10
Visit430,Store1,2022-02-12,429,Campaign2
Visit431,Store1,2021-10-09,298,Campaign10
Visit432,Store2,2022-07-21,101,Campaign9
Visit433,Store1,2023-02-07,369,Campaign7
Visit434,Store8,2021-02-15,244,Campaign4
Visit435,Store3,2022-11-17,396,Campaign3
Visit436,Store6,2021-01-21,424,Campaign4
Visit437,Store3,2023-09-24,325,Campaign9
Visit438,Store5,2021-09-25,38,Campaign9
Visit439,Store8,2021-04-11,181,Campaign6
Visit440,Store6,2022-10-23,182,Campaign9
Visit441,Store1,2022-10-15,381,Campaign9
Visit442,Store1,2021-02-02,245,Campaign6
Visit443,Store3,2021-08-24,51,Campaign5
Visit444,Store5,2021-07-17,158,Campaign3
Visit445,Store7,2022-05-22,297,Campaign1
Visit446,Store5,2023-01-17,421,Campaign4
Visit447,Store3,2021-11-28,222,Campaign1
Visit448,Store3,2022-05-01,184,Campaign1
Visit449,Store8,2021-04-30,108,Campaign6
Visit450,Store6,2021-06-07,487,Campaign5
Visit451,Store2,2023-11-27,129,Campaign7
Visit452,Store8,2023-04-30,312,Campaign1
Visit453,Store5,2021-05-24,26,Campaign1
Visit454,Store5,2022-10-03,38,Campaign8
Visit455,Store2,2022-11-24,57,Campaign6
Visit456,Store3,2023-11-18,395,Campaign8
Visit457,Store7,2023-08-07,298,Campaign6
Visit458,Store2,2023-01-24,137,Campaign6
Visit459,Store2,2023-05-25,456,Campaign10
Visit460,Store4,2021-02-20,77,Campaign7
Visit461,Store5,2021-04-19,48,Campaign2
Visit462,Store3,2021-05-14,482,Campaign3
Visit463,Store4,2021-03-21,142,Campaign4
Visit464,Store6,2023-10-04,128,Campaign1
Visit465,Store8,2021-12-04,333,Campaign9
Visit466,Store4,2022-03-08,61,Campaign9
Visit467,Store7,2023-06-07,445,Campaign4
Visit468,Store4,2021-04-12,422,Campaign1
Visit469,Store3,2021-11-27,430,Campaign1
Visit470,Store2,2022-01-11,145,Campaign6
Visit471,Store3,2021-08-19,413,Campaign2
Visit472,Store5,2023-02-03,256,Campaign1
Visit473,Store6,2022-02-28,178,Campaign10
Visit474,Store7,2023-11-15,79,Campaign2
Visit475,Store6,2022-07-23,45,Campaign7
Visit476,Store8,2022-02-20,297,Campaign4
Visit477,Store6,2021-10-29,14,Campaign7
Visit478,Store7,2021-04-29,369,Campaign7
Visit479,Store8,2021-11-27,157,Campaign4
Visit480,Store5,2022-10-24,246,Campaign2
Visit481,Store2,2021-12-25,77,Campaign9
Visit482,Store3,2021-10-16,240,Campaign10
Visit483,Store2,2022-07-07,159,Campaign10
Visit484,Store2,2022-03-16,490,Campaign3
Visit485,Store3,2022-07-29,424,Campaign1
Visit486,Store5,2022-12-18,434,Campaign8
Visit487,Store3,2021-12-12,230,Campaign4
Visit488,Store6,2023-10-12,270,Campaign9
Visit489,Store5,2023-10-10,275,Campaign8
Visit490,Store1,2023-04-13,468,Campaign7
Visit491,Store1,2021-04-15,123,Campaign9
Visit492,Store1,2021-11-09,174,Campaign2
Visit493,Store6,2021-03-27,65,Campaign4
Visit494,Store7,2022-04-27,351,Campaign5
Visit495,Store7,2023-04-30,417,Campaign5
Visit496,Store8,2023-10-25,478,Campaign1
Visit497,Store4,2021-10-27,365,Campaign9
Visit498,Store8,2022-06-12,259,Campaign9
Visit499,Store5,2022-08-29,252,Campaign5
Visit500,Store5,2023-07-16,409,Campaign10
Visit501,Store3,2023-12-01,11,Campaign3
Visit502,Store5,2022-10-11,152,Campaign8
Visit503,Store3,2022-07-09,178,Campaign7
Visit504,Store4,2023-12-26,72,Campaign5
Visit505,Store3,2021-09-02,442,Campaign1
Visit506,Store1,2022-08-12,163,Campaign7
Visit507,Store3,2023-01-01,359,Campaign1
Visit508,Store3,2023-11-11,264,Campaign1
Visit509,Store3,2021-05-27,75,Campaign9
Visit510,Store5,2021-11-09,383,Campaign6
Visit511,Store2,2021-11-12,294,Campaign7
Visit512,Store8,2022-02-07,463,Campaign2
Visit513,Store2,2021-05-06,197,Campaign8
Visit514,Store6,2023-04-15,202,Campaign7
Visit515,Store2,2022-05-11,305,Campaign5
Visit516,Store6,2023-09-08,20,Campaign8
Visit517,Store5,2023-01-14,189,Campaign2
Visit518,Store1,2022-12-01,391,Campaign6
Visit519,Store2,2021-02-14,352,Campaign4
Visit520,Store2,2023-04-16,99,Campaign7
Visit521,Store7,2023-08-22,232,Campaign6
Visit522,Store7,2023-06-30,344,Campaign6
Visit523,Store4,2023-05-10,466,Campaign5
Visit524,Store8,2022-12-29,457,Campaign5
Visit525,Store8,2021-04-08,235,Campaign2
Visit526,Store7,2021-04-27,112,Campaign7
Visit527,Store6,2023-09-22,346,Campaign7
Visit528,Store6,2023-12-03,364,Campaign8
Visit529,Store8,2021-03-12,365,Campaign4
Visit530,Store4,2023-01-28,396,Campaign9
Visit531,Store1,2023-03-07,241,Campaign10
Visit532,Store8,2023-04-19,276,Campaign3
Visit533,Store3,2022-12-27,293,Campaign3
Visit534,Store3,2021-04-17,199,Campaign2
Visit535,Store4,2022-01-21,57,Campaign10
Visit536,Store4,2022-04-01,293,Campaign7
Visit537,Store1,2023-02-14,311,Campaign10
Visit538,Store1,2021-10-21,457,Campaign2
Visit539,Store5,2021-06-25,64,Campaign7
Visit540,Store3,2022-08-17,348,Campaign3
Visit541,Store5,2021-11-25,128,Campaign1
Visit542,Store2,2023-10-23,11,Campaign8
Visit543,Store6,2021-02-11,233,Campaign8
Visit544,Store6,2021-03-22,245,Campaign10
Visit545,Store1,2022-05-03,212,Campaign1
Visit546,Store3,2023-07-05,153,Campaign6
Visit547,Store3,2021-09-19,20,Campaign4
Visit548,Store5,2022-12-10,268,Campaign5
Visit549,Store4,2023-09-20,448,Campaign8
Visit550,Store4,2023-03-19,307,Campaign8
Visit551,Store1,2022-07-02,166,Campaign7
Visit552,Store7,2022-09-07,206,Campaign5
Visit553,Store6,2023-08-05,101,Campaign6
Visit554,Store4,2023-03-26,424,Campaign8
Visit555,Store2,2021-04-08,342,Campaign5
Visit556,Store3,2023-03-05,162,Campaign3
Visit557,Store4,2021-05-07,385,Campaign9
Visit558,Store1,2023-03-06,143,Campaign9
Visit559,Store2,2022-08-02,453,Campaign10
Visit560,Store6,2023-04-20,125,Campaign1
Visit561,Store6,2022-08-06,76,Campaign7
Visit562,Store5,2022-07-02,159,Campaign4
Visit563,Store5,2021-03-08,265,Campaign6
Visit564,Store2,2022-11-13,50,Campaign7
Visit565,Store1,2022-08-02,190,Campaign8
Visit566,Store8,2023-04-17,197,Campaign5
Visit567,Store7,2023-04-04,48,Campaign5
Visit568,Store8,2022-07-29,320,Campaign6
Visit569,Store5,2021-01-30,489,Campaign7
Visit570,Store3,2023-02-02,423,Campaign5
Visit571,Store6,2023-04-11,336,Campaign5
Visit572,Store6,2023-01-01,226,Campaign4
Visit573,Store3,2022-06-19,139,Campaign1
Visit574,Store8,2022-01-04,273,Campaign7
Visit575,Store6,2021-10-29,123,Campaign7
Visit576,Store6,2023-07-06,72,Campaign6
Visit577,Store6,2021-11-03,452,Campaign10
Visit578,Store1,2023-12-23,106,Campaign2
Visit579,Store8,2023-04-17,421,Campaign2
Visit580,Store1,2022-05-26,339,Campaign6
Visit581,Store7,2023-10-15,431,Campaign9
